Team,Player,Points,Rebounds,Assists,Steals,Blocks
Dallas Mavericks,Deron Williams,25,2,4,2,N\A
Dallas Mavericks,Dirk Nowitzki,23,5,3,N\A,N\A
Dallas Mavericks,Wesley Matthews,20,3,4,2,N\A
Dallas Mavericks,Zaza Pachulia,9,17,N\A,5,N\A
Dallas Mavericks,Chandler Parsons,10,6,N\A,N\A,N\A
Dallas Mavericks,JaVale McGee,13,11,N\A,N\A,N\A
Sacramento Kings,Marco Belinelli,14,9,3,N\A,N\A
Sacramento Kings,Rudy Gay,31,5,1,1,N\A
Sacramento Kings,DeMarcus Cousins,35,17,4,6,1
Sacramento Kings,Darren Collison,14,12,N\A,2,N\A
Sacramento Kings,Quincy Acy,12,6,N\A,N\A,N\A
