Team,Player,Points,Rebounds,Assists,Steals,Blocks
Houston Rockets,James Harden,26,7,9,N\A,N\A
Houston Rockets,Marcus Thornton,18,N\A,1,1,N\A
Houston Rockets,Trevor Ariza,16,7,1,2,N\A
Houston Rockets,Clint Capela,18,11,N\A,N\A,N\A
Houston Rockets,Dwight Howard,14,6,N\A,N\A,N\A
New York Knicks,Arron Afflalo,31,N\A,N\A,N\A,N\A
New York Knicks,Kristaps Porzingis,20,13,1,1,2
New York Knicks,Lance Thomas,15,3,N\A,N\A,N\A
New York Knicks,Jose Calderon,7,5,4,1,N\A
New York Knicks,Robin Lopez,0,3,2,N\A,1
New York Knicks,Kevin Seraphin,14,7,N\A,N\A,N\A
New York Knicks,Derrick Williams,12,4,N\A,N\A,N\A
