Team,Player,Points,Rebounds,Assists,Steals,Blocks
Brooklyn Nets,Brook Lopez,24,8,5,N\A,5
Brooklyn Nets,Thaddeus Young,20,12,5,N\A,N\A
Brooklyn Nets,Joe Johnson,22,N\A,N\A,N\A,N\A
Brooklyn Nets,Bojan Bogdanovic,19,5,N\A,N\A,N\A
Brooklyn Nets,Jarret Jack,10,N\A,9,N\A,N\A
Houston Rockets,James Harden,10,N\A,9,N\A,N\A
Houston Rockets,Corey Brewer,22,3,2,3,N\A
Houston Rockets,Marcus Thornton,26,N\A,N\A,N\A,N\A
Houston Rockets,Patrick Beverely,10,N\A,N\A,N\A,N\A
Houston Rockets,Dwight Howard,10,9,N\A,N\A,N\A
Houston Rockets,Clint Capela,6,9,N\A,N\A,N\A
